instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|47723,47723,NIFTY2592324950CE,NIFTY,169.85,2025-09-23,24950.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47724,47724,NIFTY2592324950PE,NIFTY,192.45,2025-09-23,24950.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47718,47718,NIFTY2592324900PE,NIFTY,169.45,2025-09-23,24900.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47717,47717,NIFTY2592324900CE,NIFTY,195.35,2025-09-23,24900.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47712,47712,NIFTY2592324850PE,NIFTY,149.05,2025-09-23,24850.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47711,47711,NIFTY2592324850CE,NIFTY,223.6,2025-09-23,24850.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47752,47752,NIFTY2592325050PE,NIFTY,249.4,2025-09-23,25050.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47751,47751,NIFTY2592325050CE,NIFTY,124.45,2025-09-23,25050.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47754,47754,NIFTY2592325100PE,NIFTY,278.3,2025-09-23,25100.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47753,47753,NIFTY2592325100CE,NIFTY,105.2,2025-09-23,25100.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47734,47734,NIFTY2592325000PE,NIFTY,220.55,2025-09-23,25000.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47733,47733,NIFTY2592325000CE,NIFTY,146.35,2025-09-23,25000.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47704,47704,NIFTY2592324800PE,NIFTY,129.9,2025-09-23,24800.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47700,47700,NIFTY2592324750PE,NIFTY,113.85,2025-09-23,24750.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47703,47703,NIFTY2592324800CE,NIFTY,255.7,2025-09-23,24800.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47766,47766,NIFTY2592325400PE,NIFTY,506.9,2025-09-23,25400.0,0.05,75.0,OPTIDX,PE,NSE_FO
